num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore
25,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.009219712525667351,0.010610565995653682,0.4980753,nan
25,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.00951647183846971,0.011030433079631474,0.49614143,nan
25,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.009633423180592992,0.011191829630681589,0.49777558,nan
25,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.010206422018348626,0.01194853395970017,0.49351084,nan
25,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.010414507772020727,0.012268344365422314,0.49206612,nan
25,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.010865504358655045,0.013147266869229684,0.47427693,nan
25,[1. 1. 1. ... 1. 1. 1.],0.011837549933422103,0.014364429826764731,0.48143414,nan
26,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.009204938271604936,0.010567482737159937,0.49015987,nan
26,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.009600409836065573,0.011077047106180174,0.48848698,nan
26,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.009796557120500782,0.011335264214255774,0.48768875,nan
26,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.010258810572687224,0.011935554404669415,0.4861541,nan
26,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.010375213189312109,0.012131828291727145,0.47805926,nan
26,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.011468616697135892,0.0138215831055708,0.48698816,nan
26,[1. 1. 1. ... 1. 1. 1.],0.011938642297650131,0.014582560733768962,0.48139137,nan
27,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.00888084901109503,0.010255020591166486,0.49276122,nan
27,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.00927455919395466,0.010764783341462665,0.49327335,nan
27,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.00948691636736788,0.011038004574062281,0.49267602,nan
27,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.009951351351351351,0.011643296019682267,0.48686194,nan
27,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.010070883315158126,0.011852951405655694,0.49015778,nan
27,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.010542590431738623,0.012710713651672652,0.48727116,nan
27,[1. 1. 1. ... 1. 1. 1.],0.011164556962025318,0.013674187636213569,0.4684367,nan
28,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.008804799261652053,0.010157656465997028,0.49390402,nan
28,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.009070986183897093,0.010505320792661524,0.49249735,nan
28,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.009265206812652065,0.010760511182316492,0.49413982,nan
28,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.009854242581988549,0.01156024088254392,0.49368438,nan
28,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.009920212765957446,0.011663147685864192,0.49257934,nan
28,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.010379965457685665,0.0125671663518376,0.48056558,nan
28,[1. 1. 1. ... 1. 1. 1.],0.011118707271597266,0.013629612037382577,0.46718743,nan
29,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.008657870791628752,0.009986519658373183,0.48701632,nan
29,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.009025082820634169,0.010480728264386965,0.4838307,nan
29,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.009162656400384984,0.010657290042913038,0.48148742,nan
29,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.009596570852244074,0.011209920110190697,0.48097497,nan
29,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.010119109269808389,0.011855709585723835,0.48478124,nan
29,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.01038095238095238,0.012553034316231735,0.47824013,nan
29,[1. 1. 1. ... 1. 1. 1.],0.010784077201447528,0.013139839124914081,0.47908115,nan
30,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.008728888888888888,0.010150497894914734,0.51165175,nan
30,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.009034195933456562,0.01055635502398674,0.5085699,nan
30,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.009213483146067415,0.010796414589079081,0.50790685,nan
30,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.009731876861966235,0.011482909106720902,0.50543064,nan
30,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.01009109311740891,0.011970990035590198,0.5087035,nan
30,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.010387978142076502,0.01266798484066527,0.49372637,nan
30,[1. 1. 1. ... 1. 1. 1.],0.010752314814814814,0.013111423116147339,0.48980632,nan
31,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.008174363400949505,0.009443038717224683,0.49326655,nan
31,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.008484304932735425,0.009855600263545736,0.4918177,nan
31,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.008552450755840584,0.009978734505042058,0.49171776,nan
31,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.009129807692307694,0.010749131889131696,0.4909564,nan
31,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.00936914736323312,0.01102834471511799,0.49212727,nan
31,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.010037837837837838,0.012120749723918847,0.48270783,nan
