Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
95,1,0.460542111,-7.935790605,-4.62711453,-0.132649241
100,1,0.460473426,-8.687051056,-4.589926476,-0.132467198
100,1,0.460473426,-8.687051056,-4.589926476,-0.132467198
100,1,0.460473426,-8.687051056,-4.589926476,-0.132467198
120,1,0.45974351,-9.408300693,-4.559697723,-0.129274835
120,1,0.45974351,-9.408300693,-4.559697723,-0.129274835
90,1,0.459512192,-7.912544716,-4.538379979,-0.129184658
20,5,0.417222314,-6.4840529,-2.638603861,-0.047821204
20,10,0.432850563,-7.775036475,-0.853877353,0.044039264
20,25,0.374367311,-12.06558778,-1.400980243,0.001321684
20,50,0.366538156,-10.9273022,-0.710903311,0.039741701
20,75,0.352985828,-10.66208924,-0.515729892,0.060790283
20,100,0.376935973,-9.588303345,0.043160162,0.103799442
20,125,0.448244755,-8.812738973,0.529089622,0.126023769
20,150,0.463563715,-8.097008191,0.309971697,0.116768782
20,175,0.496318668,-7.609674291,0.35629807,0.119860983
20,200,0.516658498,-6.85408272,0.520719244,0.135357643
110,1,0.459317597,-9.001892185,-4.575615084,-0.13274634
110,1,0.459317597,-9.001892185,-4.575615084,-0.13274634
80,1,0.457922791,-7.822939678,-4.896281757,-0.146180093
80,1,0.457922791,-7.822939678,-4.896281757,-0.146180093
115,1,0.457100945,-9.02931264,-4.450863504,-0.126615684
115,1,0.457100945,-9.02931264,-4.450863504,-0.126615684
135,1,0.456872248,-10.10030067,-4.508457056,-0.132545466
25,5,0.446116404,-6.674621768,-1.739677665,0.001249411
25,10,0.441486542,-8.13789333,-1.087496151,0.021885314
25,25,0.307880232,-12.2129186,-1.510769797,-0.015793561
25,50,0.348355685,-11.4122428,-0.834022223,0.031985278
25,75,0.40947233,-9.064449853,0.27067898,0.108905246
25,100,0.45720691,-8.072385164,0.744443345,0.136309456
25,125,0.497905004,-7.249809787,0.704659562,0.134351787
25,150,0.556959209,-6.78680438,1.1829448,0.173067659
25,175,0.579668814,-6.41663362,1.505226296,0.191102865
25,200,0.611335772,-5.484140536,1.676281292,0.200334815
135,1,0.456872248,-10.10030067,-4.508457056,-0.132545466
125,1,0.456668891,-9.511994812,-4.574369229,-0.132306246
125,1,0.456668891,-9.511994812,-4.574369229,-0.132306246
77,1,0.454726863,-6.992766025,-4.724610285,-0.136727231
105,1,0.454180855,-9.002476753,-4.60139896,-0.133966514
105,1,0.454180855,-9.002476753,-4.60139896,-0.133966514
73,1,0.454003341,-6.733612664,-4.417890708,-0.124106384
30,5,0.431905666,-7.617596255,-1.698043689,-0.002756066
30,10,0.380150959,-9.964228666,-1.765297839,-0.019387491
30,25,0.313483267,-12.12607933,-1.616087119,-0.022223535
30,50,0.331586893,-11.83980743,-1.456695629,-0.005304086
30,75,0.362717384,-10.14578041,-0.616684184,0.058985796
30,100,0.444671963,-8.328173233,0.437142154,0.120375059
30,125,0.526096394,-7.219643537,0.8807911,0.145465599
30,150,0.593269231,-6.231095359,1.378908473,0.179761738
30,175,0.584993333,-6.287353251,1.288476298,0.180906361
30,200,0.549449452,-6.236797492,0.876698926,0.160955227
85,1,0.453843843,-7.814723163,-4.803439668,-0.139430523
79,1,0.453394627,-7.184555753,-4.634975431,-0.131484845
78,1,0.449909037,-7.284394117,-4.683496461,-0.132743165
20,0.005,0.449582049,-1.636921721,0.156517428,0.042880282
20,0.001,0.449473044,-1.638691046,0.156181729,0.042749833
79,0.9,0.449360849,-6.763252202,-4.55655448,-0.128652696
20,0.01,0.448971266,-1.631370689,0.158806769,0.042889244
35,5,0.433184423,-8.518281036,-1.624112006,-0.000514526
35,10,0.388341392,-9.931660927,-1.690615565,-0.015538195
35,25,0.301892639,-11.81708422,-1.754880483,-0.024167799
35,50,0.313134659,-11.64545452,-1.835767752,-0.023973067
35,75,0.419542011,-9.165785951,0.216223176,0.105419596
35,100,0.494642096,-7.639105373,0.782108393,0.143899081
35,125,0.561144504,-6.728718697,1.574248399,0.19191961
35,150,0.5681987,-6.676607358,1.169058875,0.173772134
35,175,0.6430913,-5.439287932,1.841900666,0.214840325
35,200,0.681901664,-4.61985843,2.111200869,0.23150338
140,1,0.448791527,-10.02879198,-4.455311351,-0.129991011
140,1,0.448791527,-10.02879198,-4.455311351,-0.129991011
55,1,0.448707543,-5.697404101,-3.932343211,-0.105630237
145,1,0.443921202,-10.44738129,-4.517591219,-0.131740558
145,1,0.443921202,-10.44738129,-4.517591219,-0.131740558
73,0.9,0.443565779,-6.201317042,-4.402184182,-0.123779862
20,0.05,0.443470259,-1.674387178,0.127705646,0.040836319
40,5,0.427444353,-8.879567655,-1.841754897,-0.014518426
40,10,0.411726846,-8.942757568,-1.735326911,-0.003930338
40,25,0.30715082,-11.20685869,-2.004708409,-0.036768105
40,50,0.353345903,-9.806296906,-1.281763554,0.009170239
40,75,0.513156983,-7.345985061,0.792984934,0.136754049
40,100,0.527448006,-7.169565732,1.078998352,0.161455952
40,125,0.631014343,-5.332059448,1.992849461,0.214016563
40,150,0.567907334,-6.561347083,1.30495925,0.183699457
40,175,0.600414214,-5.93688496,1.612064693,0.203243334
