Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
25,0.001,0.465306243,-1.703200425,0.076490232,0.04274145
25,0.005,0.465655239,-1.70399816,0.075807955,0.042705759
25,0.01,0.466296696,-1.712952782,0.070295269,0.042609371
25,0.05,0.457526691,-1.747891303,-0.061194757,0.036364083
20,0.001,0.439463845,-1.694650264,-0.077532816,0.033899097
20,0.005,0.439463845,-1.695198591,-0.077532816,0.033899097
20,0.01,0.439463845,-1.695058182,-0.077532816,0.033899097
25,0.1,0.452783715,-1.803068339,-0.147230675,0.03312457
20,0.05,0.43690938,-1.729428492,-0.140952022,0.03114246
20,0.1,0.431827609,-1.788903704,-0.230431128,0.027810812
35,0.001,0.456322306,-1.917121327,-0.322081705,0.027458439
35,0.005,0.457206595,-1.919761572,-0.327514604,0.027390961
35,0.01,0.457206595,-1.916584077,-0.327514604,0.027390961
30,0.05,0.446171647,-1.800062279,-0.319732096,0.026331539
30,0.005,0.447648548,-1.857319092,-0.360890186,0.026058982
30,0.01,0.447532269,-1.853071382,-0.362383352,0.025934638
30,0.001,0.446938456,-1.870593785,-0.378235161,0.025465172
35,0.05,0.456579487,-1.910404022,-0.371601,0.025313901
35,0.1,0.448528526,-1.945711747,-0.421549414,0.024812897
30,0.1,0.437061732,-1.840183831,-0.385224657,0.023290742
20,0.5,0.432751735,-2.001526298,-0.5112381,0.020841598
25,0.5,0.442141894,-2.050272478,-0.513791386,0.020588884
40,0.01,0.44141003,-2.035064383,-0.553188164,0.017460507
40,0.001,0.440644357,-2.037839734,-0.550439818,0.017182039
40,0.005,0.440644357,-2.040086852,-0.550439818,0.017182039
40,0.05,0.435922832,-2.078406025,-0.658429064,0.012735426
40,0.1,0.431250369,-2.109604504,-0.740802733,0.009802647
25,1,0.435876839,-2.404911138,-0.876951942,0.009153907
20,1,0.450437434,-2.526495295,-0.910467435,0.00808451
35,0.5,0.447427717,-2.339968651,-1.022728153,0.006598565
45,0.01,0.420220438,-2.207484805,-0.853036846,0.005814165
45,0.001,0.419133472,-2.230391227,-0.861770106,0.004859738
30,0.5,0.436844605,-2.315796255,-1.02588813,0.004322872
45,0.005,0.418021531,-2.245913239,-0.886984654,0.003918297
45,0.05,0.421106562,-2.296399955,-0.950869463,0.00341096
