Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
20,0.05,0.611463041,-1.60065937,0.419903595,0.086229526
20,0.007,0.605800093,-1.616482279,0.373746945,0.082945877
20,0.01,0.605282749,-1.597371253,0.367654839,0.082079107
20,0.009,0.604570629,-1.604678851,0.36437914,0.081685787
20,0.008,0.603026786,-1.603040895,0.356618696,0.080490011
14,0.17,0.600613792,-1.541375195,0.395753765,0.082435595
21,0.002,0.599512527,-1.477172797,0.365895952,0.086353129
21,0.001,0.599512527,-1.477181924,0.365895952,0.086353129
21,0.003,0.599512527,-1.477357338,0.365895952,0.086353129
21,0.007,0.599498144,-1.460765031,0.360014624,0.085668742
21,0.005,0.599145451,-1.468173907,0.364626642,0.086242114
21,0.004,0.599145451,-1.468649949,0.364626642,0.086242114
21,0.006,0.599101524,-1.477044576,0.361894427,0.085777911
22,0.009,0.598916604,-1.503692438,0.376562296,0.084841177
14,0.14,0.598819598,-1.539735744,0.391373706,0.082280569
22,0.007,0.598406776,-1.534067646,0.361391612,0.084755917
22,0.006,0.598258929,-1.52891391,0.366331414,0.085028972
20,0.1,0.598250201,-1.731004567,0.249345622,0.079768369
20,0.1,0.598250201,-1.731004567,0.249345622,0.079768369
14,0.15,0.598246485,-1.544542203,0.38821204,0.081975502
14,0.18,0.598185825,-1.52252367,0.386004118,0.081289281
14,0.16,0.596724643,-1.537417968,0.377456252,0.080616079
21,0.009,0.596646052,-1.462831784,0.352795103,0.084434678
14,0.13,0.596253869,-1.522555272,0.396266872,0.082082979
20,0.11,0.596241865,-1.746911994,0.228199305,0.078715626
22,0.008,0.59584874,-1.519628975,0.36064929,0.084120526
14,0.11,0.595709559,-1.519305243,0.407320189,0.081723853
22,0.002,0.595593947,-1.522793225,0.315612829,0.082294432
22,0.004,0.59507838,-1.533345968,0.308920401,0.081771722
22,0.005,0.59485359,-1.543300634,0.307466082,0.082087657
21,0.008,0.594696056,-1.455149062,0.338799488,0.082947394
22,0.003,0.594676791,-1.548615531,0.308060469,0.081015851
20,0.005,0.594278083,-1.595866428,0.306720082,0.07733474
20,0.005,0.594278083,-1.595866428,0.306720082,0.07733474
14,0.12,0.594254739,-1.50617652,0.381801258,0.080940958
22,0.001,0.593851848,-1.548373454,0.306529377,0.080878173
20,0.004,0.593531292,-1.594451068,0.292488229,0.075722657
14,0.2,0.592813041,-1.506569223,0.369514502,0.079302884
14,0.19,0.592653043,-1.499158296,0.369725609,0.079142791
20,0.002,0.592644093,-1.615620821,0.29093348,0.075393481
20,0.003,0.592293442,-1.610531568,0.288820476,0.075149489
20,0.001,0.592293442,-1.612229436,0.288820476,0.075149489
20,0.001,0.592293442,-1.612229436,0.288820476,0.075149489
20,0.006,0.592079259,-1.59423442,0.291894799,0.075789503
20,0.12,0.590994751,-1.740814784,0.169726631,0.075126666
17,0.38,0.590750889,-1.600648896,0.282745986,0.077548256
40,0.39,0.590704712,-3.238226766,-0.768904257,0.04943307
17,0.41,0.590531789,-1.613456913,0.260871547,0.077336966
17,0.37,0.590466125,-1.587825348,0.291681028,0.078036953
14,0.21,0.590404291,-1.498740511,0.355264105,0.078113901
14,0.1,0.590199709,-1.536351527,0.372414765,0.079829196
15,0.12,0.590163381,-1.55773408,0.377181263,0.081948949
14,0.22,0.590110909,-1.507158113,0.355017617,0.078204319
40,0.46,0.590026123,-3.43511977,-0.842946415,0.048837431
17,0.36,0.589993027,-1.598651875,0.299518708,0.078164187
14,0.23,0.589919964,-1.496921043,0.353050477,0.078160239
15,0.11,0.589824529,-1.559937724,0.380530864,0.082422672
40,0.43,0.589817134,-3.37469195,-0.812921931,0.049178553
17,0.39,0.589811362,-1.601245061,0.26206,0.076393779
40,0.41,0.589705958,-3.237926713,-0.74174401,0.0513133
40,0.4,0.589541898,-3.216149567,-0.749415137,0.049877117
40,0.48,0.589490946,-3.442261737,-0.836085004,0.049797706
40,0.47,0.589274899,-3.378480844,-0.842570651,0.048807125
14,0.001,0.589233248,-1.56155872,0.374259401,0.079370238
14,0.002,0.589233248,-1.56155872,0.374259401,0.079370238
