Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
4,1,0.641919026,-1.782150979,0.246596713,0.094099007
4,0.9,0.638420744,-1.768238916,0.253388296,0.09294669
4,0.4,0.638420744,-1.774104608,0.253388296,0.09294669
4,0.7,0.636399291,-1.827907909,0.246009558,0.092142418
4,0.8,0.636399291,-1.829194732,0.246009558,0.092142418
4,0.5,0.636399291,-1.834110629,0.246009558,0.092142418
4,0.6,0.636399291,-1.834110629,0.246009558,0.092142418
4,0.3,0.636943281,-1.749852358,0.240641339,0.091498897
4,0.2,0.631667516,-1.724365264,0.229018249,0.089481898
5,0.9,0.616130954,-1.790072745,0.194111848,0.084618989
5,0.8,0.616130954,-1.791577469,0.194111848,0.084618989
5,0.7,0.616130954,-1.795765753,0.194111848,0.084618989
5,0.6,0.616130954,-1.798476968,0.194111848,0.084618989
5,0.5,0.616702118,-1.810278918,0.185075678,0.083715433
5,0.4,0.614632771,-1.837784802,0.185222632,0.083697926
5,1,0.613539253,-1.781039239,0.18574313,0.083595724
4,0.005,0.627278064,-1.754378466,-0.030160012,0.080132516
4,0.01,0.627278064,-1.756775769,-0.030160012,0.080132516
4,0.02,0.623773033,-1.756874796,-0.040836675,0.078635534
4,0.03,0.623773033,-1.756874796,-0.040836675,0.078635534
4,0.1,0.620357318,-1.828913534,-0.110931489,0.077144479
9,0.08,0.604109092,-1.897309102,0.065384735,0.076603526
5,0.2,0.607088681,-1.943722311,0.03753454,0.076544134
5,0.3,0.60452426,-1.785722237,0.114089838,0.075668565
9,0.06,0.602778612,-1.946297038,0.021649342,0.075023356
4,0.04,0.620779708,-1.79915781,-0.145196596,0.074863089
4,0.05,0.620779708,-1.79915781,-0.145196596,0.074863089
4,0.06,0.620779708,-1.800546002,-0.145196596,0.074863089
4,0.07,0.620779708,-1.800561214,-0.145196596,0.074863089
9,0.09,0.602455193,-1.947555733,0.004400615,0.074076396
9,0.02,0.600627278,-2.09093831,-0.054185277,0.071521038
